type,name,enLink,cnLink
Dynamic Programming,Longest Common Subsequence,https://leetcode.com/problems/longest-common-subsequence/,https://leetcode-cn.com/problems/longest-common-subsequence/
Dynamic Programming,Word Break Problem,https://leetcode.com/problems/word-break/,https://leetcode-cn.com/problems/word-break/
Dynamic Programming,Combination Sum,https://leetcode.com/problems/combination-sum-iv/,https://leetcode-cn.com/problems/combination-sum-iv/
Dynamic Programming,House Robber,https://leetcode.com/problems/house-robber/,https://leetcode-cn.com/problems/house-robber/
Dynamic Programming,House Robber II,https://leetcode.com/problems/house-robber-ii/,https://leetcode-cn.com/problems/house-robber-ii/
Dynamic Programming,Decode Ways,https://leetcode.com/problems/decode-ways/,https://leetcode-cn.com/problems/decode-ways/
Dynamic Programming,Unique Paths,https://leetcode.com/problems/unique-paths/,https://leetcode-cn.com/problems/unique-paths/
Dynamic Programming,Jump Game,https://leetcode.com/problems/jump-game/,https://leetcode-cn.com/problems/jump-game/
Graph,Clone Graph,https://leetcode.com/problems/clone-graph/,https://leetcode-cn.com/problems/clone-graph/
Graph,Course Schedule,https://leetcode.com/problems/course-schedule/,https://leetcode-cn.com/problems/course-schedule/
Graph,Pacific Atlantic Water Flow,https://leetcode.com/problems/pacific-atlantic-water-flow/,https://leetcode-cn.com/problems/pacific-atlantic-water-flow/
Graph,Number of Islands,https://leetcode.com/problems/number-of-islands/,https://leetcode-cn.com/problems/number-of-islands/
Graph,Longest Consecutive Sequence,https://leetcode.com/problems/longest-consecutive-sequence/,https://leetcode-cn.com/problems/longest-consecutive-sequence/
Graph,Alien Dictionary (Leetcode Premium),https://leetcode.com/problems/alien-dictionary/,https://leetcode-cn.com/problems/alien-dictionary/
Graph,Graph Valid Tree (Leetcode Premium),https://leetcode.com/problems/graph-valid-tree/,https://leetcode-cn.com/problems/graph-valid-tree/
Graph,Number of Connected Components in an Undirected Graph (Leetcode Premium),https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph/,https://leetcode-cn.com/problems/number-of-connected-components-in-an-undirected-graph/
Interval,Insert Interval,https://leetcode.com/problems/insert-interval/,https://leetcode-cn.com/problems/insert-interval/
Interval,Merge Intervals,https://leetcode.com/problems/merge-intervals/,https://leetcode-cn.com/problems/merge-intervals/
Interval,Non-overlapping Intervals,https://leetcode.com/problems/non-overlapping-intervals/,https://leetcode-cn.com/problems/non-overlapping-intervals/
Interval,Meeting Rooms (Leetcode Premium),https://leetcode.com/problems/meeting-rooms/,https://leetcode-cn.com/problems/meeting-rooms/
Interval,Meeting Rooms II (Leetcode Premium),https://leetcode.com/problems/meeting-rooms-ii/,https://leetcode-cn.com/problems/meeting-rooms-ii/
Linked List,Reverse a Linked List,https://leetcode.com/problems/reverse-linked-list/,https://leetcode-cn.com/problems/reverse-linked-list/
Linked List,Detect Cycle in a Linked List,https://leetcode.com/problems/linked-list-cycle/,https://leetcode-cn.com/problems/linked-list-cycle/
Linked List,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/,https://leetcode-cn.com/problems/merge-two-sorted-lists/
Linked List,Merge K Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/,https://leetcode-cn.com/problems/merge-k-sorted-lists/
Linked List,Remove Nth Node From End Of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,https://leetcode-cn.com/problems/remove-nth-node-from-end-of-list/
Linked List,Reorder List,https://leetcode.com/problems/reorder-list/,https://leetcode-cn.com/problems/reorder-list/
Matrix,Set Matrix Zeroes,https://leetcode.com/problems/set-matrix-zeroes/,https://leetcode-cn.com/problems/set-matrix-zeroes/
Matrix,Spiral Matrix,https://leetcode.com/problems/spiral-matrix/,https://leetcode-cn.com/problems/spiral-matrix/
Matrix,Rotate Image,https://leetcode.com/problems/rotate-image/,https://leetcode-cn.com/problems/rotate-image/
Matrix,Word Search,https://leetcode.com/problems/word-search/,https://leetcode-cn.com/problems/word-search/
String,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,https://leetcode-cn.com/problems/longest-substring-without-repeating-characters/
String,Longest Repeating Character Replacement,https://leetcode.com/problems/longest-repeating-character-replacement/,https://leetcode-cn.com/problems/longest-repeating-character-replacement/
String,Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring/,https://leetcode-cn.com/problems/minimum-window-substring/
String,Valid Anagram,https://leetcode.com/problems/valid-anagram/,https://leetcode-cn.com/problems/valid-anagram/
String,Group Anagrams,https://leetcode.com/problems/group-anagrams/,https://leetcode-cn.com/problems/group-anagrams/
String,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,https://leetcode-cn.com/problems/valid-parentheses/
String,Valid Palindrome,https://leetcode.com/problems/valid-palindrome/,https://leetcode-cn.com/problems/valid-palindrome/
String,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,https://leetcode-cn.com/problems/longest-palindromic-substring/
String,Palindromic Substrings,https://leetcode.com/problems/palindromic-substrings/,https://leetcode-cn.com/problems/palindromic-substrings/
String,Encode and Decode Strings (Leetcode Premium),https://leetcode.com/problems/encode-and-decode-strings/,https://leetcode-cn.com/problems/encode-and-decode-strings/
Tree,Maximum Depth of Binary Tree,https://leetcode.com/problems/maximum-depth-of-binary-tree/,https://leetcode-cn.com/problems/maximum-depth-of-binary-tree/
Tree,Same Tree,https://leetcode.com/problems/same-tree/,https://leetcode-cn.com/problems/same-tree/
Tree,Invert/Flip Binary Tree,https://leetcode.com/problems/invert-binary-tree/,https://leetcode-cn.com/problems/invert-binary-tree/
Tree,Binary Tree Maximum Path Sum,https://leetcode.com/problems/binary-tree-maximum-path-sum/,https://leetcode-cn.com/problems/binary-tree-maximum-path-sum/
Tree,Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal/,https://leetcode-cn.com/problems/binary-tree-level-order-traversal/
Tree,Serialize and Deserialize Binary Tree,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/,https://leetcode-cn.com/problems/serialize-and-deserialize-binary-tree/
Tree,Subtree of Another Tree,https://leetcode.com/problems/subtree-of-another-tree/,https://leetcode-cn.com/problems/subtree-of-another-tree/
Tree,Construct Binary Tree from Preorder and Inorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,https://leetcode-cn.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/
Tree,Validate Binary Search Tree,https://leetcode.com/problems/validate-binary-search-tree/,https://leetcode-cn.com/problems/validate-binary-search-tree/
Tree,Kth Smallest Element in a BST,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,https://leetcode-cn.com/problems/kth-smallest-element-in-a-bst/
Tree,Lowest Common Ancestor of BST,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,https://leetcode-cn.com/problems/lowest-common-ancestor-of-a-binary-search-tree/
Tree,Implement Trie (Prefix Tree),https://leetcode.com/problems/implement-trie-prefix-tree/,https://leetcode-cn.com/problems/implement-trie-prefix-tree/
Tree,Add and Search Word,https://leetcode.com/problems/add-and-search-word-data-structure-design/,https://leetcode-cn.com/problems/add-and-search-word-data-structure-design/
Tree,Word Search II,https://leetcode.com/problems/word-search-ii/,https://leetcode-cn.com/problems/word-search-ii/
Heap,Merge K Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/,https://leetcode-cn.com/problems/merge-k-sorted-lists/
Heap,Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements/,https://leetcode-cn.com/problems/top-k-frequent-elements/
Heap,Find Median from Data Stream,https://leetcode.com/problems/find-median-from-data-stream/,https://leetcode-cn.com/problems/find-median-from-data-stream/
